customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7099-NVA,Female,0,No,No,55,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,50.95,2822.01,No
9997-STG,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,57.27,3002.1,No
3749-QYG,Male,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,88.93,5126.87,Yes
7102-HXP,Female,1,Yes,No,37,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.62,3207.44,No
4740-ZDK,Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,62.6,536.07,No
7135-KDH,Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),81.94,4974.62,No
8829-EQD,Female,1,Yes,Yes,32,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,74.01,2451.2,Yes
4983-KDU,Male,1,No,Yes,36,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,89.05,3140.01,No
3530-PHK,Male,0,Yes,No,27,Yes,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,70.61,1864.82,Yes
1415-GDR,Female,0,Yes,Yes,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),61.97,806.52,No
6476-GAI,Male,0,Yes,No,67,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,80.51,5372.64,No
5265-BPL,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),81.54,4676.44,No
3219-KZZ,Female,1,Yes,Yes,47,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),71.25,3374.35,No
5118-XTH,Female,1,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,46.22,1321.67,Yes
3002-CAL,Female,0,No,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,74.59,4528.03,No
1658-SHF,Female,0,No,Yes,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),46.18,1762.4,Yes
3735-NEI,Female,0,Yes,Yes,32,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.45,948.6,No
4012-ZDD,Male,1,No,No,32,No,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,95.41,3108.16,Yes
8976-SHC,Female,1,No,Yes,16,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,75.56,1163.27,Yes
7580-QXB,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,76.26,469.7,Yes
9422-OOU,Female,1,Yes,No,40,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),47.01,1935.29,No
3936-OXO,Male,0,Yes,No,64,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.31,3256.87,No
9750-BTZ,Male,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,76.79,295.34,No
6206-AEH,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),83.05,5182.27,Yes
6640-VGD,Female,0,Yes,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.49,1999.95,No
2604-GKT,Female,0,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,36.61,734.28,No
4597-UNS,Female,0,Yes,No,46,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),63.22,2914.7,Yes
4464-VAJ,Female,0,No,Yes,12,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,70.48,856.71,Yes
5334-UHF,Male,0,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.94,3818.49,No
6318-NKO,Male,0,No,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.96,1503.78,No
4641-DWE,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,54.2,1363.93,No
7669-FUF,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),72.98,251.81,Yes
6708-ZWF,Male,1,Yes,No,70,Yes,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),46.04,3206.5,No
6683-IAZ,Male,0,Yes,Yes,32,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,43.33,1337.1,No
5522-LOE,Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),62.33,4058.93,No
9020-LNY,Male,0,No,Yes,49,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Electronic check,54.17,2671.5,No
3126-WLC,Female,0,No,Yes,56,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.71,4079.19,No
4804-MOO,Female,0,No,Yes,55,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),78.65,4344.99,No
3382-XIR,Male,0,Yes,No,14,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),46.34,653.43,No
9646-DMC,Male,0,No,No,26,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,63.21,1670.13,Yes
8632-VYX,Female,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),44.35,1503.42,No
8289-JKB,Female,0,No,Yes,36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),82.2,2983.76,Yes
2784-LUW,Male,0,Yes,No,3,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,83.04,204.11,No
6540-EIF,Male,0,No,No,39,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),74.82,2869.08,No
8277-WOJ,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,58.03,641.36,No
8027-VNU,Female,0,No,No,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,71.86,3904.4,No
6512-XJE,Female,0,No,Yes,49,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),73.09,3571.72,No
4112-FSE,Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,99.04,6658.01,No
4442-AKS,Male,0,Yes,No,54,No,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),38.09,2067.71,Yes
3682-WUC,Female,0,Yes,No,26,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,47.96,1175.25,No
8450-LES,Female,0,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.38,2277.92,No
7175-EGM,Male,0,No,No,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),75.18,2136.17,Yes
3193-OET,Male,0,Yes,Yes,23,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),43.18,960.07,Yes
2998-BKF,Male,0,No,Yes,66,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),45.68,3055.11,No
3635-KFC,Female,0,No,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,43.28,1169.25,No
6650-QUN,Female,1,Yes,No,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,96.7,456.63,No
4895-DAB,Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),67.01,2261.9,Yes
6388-MVX,Male,0,No,No,58,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),49.48,2839.02,No
6520-FVV,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.37,236.8,Yes
1104-UFG,Female,1,No,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),46.77,1571.04,Yes
6861-LJL,Male,0,Yes,Yes,9,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,83.24,731.73,No
2777-FXW,Male,0,No,No,50,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,25.01,1213.1,No
4631-YVY,Female,1,Yes,No,34,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,49.92,1670.68,No
9690-RAV,Female,0,Yes,Yes,24,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.18,766.88,No
9529-ZSZ,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,45.14,696.02,No
7990-HEP,Female,0,Yes,Yes,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.85,1664.07,No
2588-RMO,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,81.66,3931.86,No
2374-ISR,Female,0,Yes,No,68,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,54.49,3688.49,No
9123-VYF,Female,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),73.14,2237.25,Yes
3729-NNM,Female,0,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.99,294.5,No
2705-GIY,Female,0,No,No,60,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),53.95,3285.72,Yes
3488-ONK,Male,1,No,No,45,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.45,2256.37,No
3380-NAY,Male,0,No,No,51,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),74.22,3786.83,No
3387-UDU,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),54.71,408.34,No
1354-KMY,Female,1,Yes,Yes,22,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),23.21,477.72,No
6770-QXW,Male,0,No,Yes,56,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,69.43,3867.42,No
2854-KBT,Male,0,Yes,No,60,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),54.2,3267.75,No
7552-BNW,Female,0,No,Yes,31,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),52.16,1534.23,No
9233-IMI,Female,0,No,No,58,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,81.59,4759.26,No
8809-HBU,Female,0,No,Yes,61,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),81.45,4948.69,No
9945-EKT,Male,1,No,No,28,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,90.07,2484.23,No
8802-AAY,Female,0,No,Yes,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,96.74,6301.69,No
2686-BPH,Female,0,No,Yes,21,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,52.22,1147.11,No
1136-LOQ,Male,0,No,No,17,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),55.0,924.04,No
3437-ZNB,Male,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,47.33,2329.39,No
7737-KQR,Female,0,No,Yes,46,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,92.82,4285.6,No
7705-EJZ,Male,0,Yes,Yes,10,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,72.78,736.2,No
7448-ANU,Male,1,Yes,Yes,60,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.23,3818.92,No
5573-TQV,Male,0,No,No,14,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),70.59,996.08,Yes
5533-ZLR,Female,1,Yes,No,58,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,57.64,3349.57,No
3844-UPD,Male,0,Yes,Yes,0,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,48.21,0.0,No
3666-PAY,Male,1,Yes,No,58,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),54.96,3217.7,No
1562-CWF,Female,0,Yes,No,57,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,57.92,3248.81,No
8616-IYH,Male,0,Yes,Yes,56,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,58.47,3278.81,Yes
5022-XHH,Female,0,No,No,48,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.07,2888.48,No
9987-DPJ,Female,0,No,Yes,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),70.67,2394.25,Yes
9171-NJI,Male,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.93,1642.82,No
7952-CUC,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Mailed check,75.42,1527.97,No
6921-JGG,Male,0,Yes,Yes,56,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,76.48,4331.95,Yes
8485-WMA,Female,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),71.89,2836.8,No
7785-DOW,Male,0,No,No,33,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),35.24,1080.33,No
1958-ILE,Female,0,No,No,36,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,66.15,2422.79,No
4410-JYB,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),76.21,3154.51,No
8531-VIV,Male,0,Yes,Yes,2,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.54,78.55,No
6491-YLG,Male,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.78,314.81,No
6905-LLF,Male,0,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),48.1,838.62,Yes
4665-MUW,Male,1,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),91.11,765.05,Yes
9547-GBI,Female,1,No,Yes,32,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),81.7,2689.87,No
1194-YNR,Female,0,No,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,39.62,1891.91,No
7501-DXY,Female,0,Yes,Yes,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.48,1203.13,No
3620-PMG,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,79.5,2627.66,Yes
8441-UIW,Female,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.82,2378.73,No
1591-HWN,Male,0,Yes,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,66.94,2777.59,No
3400-RZI,Female,1,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,103.63,532.28,Yes
3278-DQL,Female,1,Yes,No,55,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,64.96,3614.37,No
9362-DGV,Female,0,No,No,41,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,52.65,2131.29,No
4836-MLS,Female,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,78.84,3619.01,No
5784-CJQ,Male,0,No,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,42.01,1716.14,No
5799-PQD,Male,0,No,No,40,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,80.34,3252.07,Yes
3728-CQI,Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,70.05,459.56,Yes
2864-SGE,Male,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,64.3,2583.12,No
1704-IWG,Male,0,Yes,Yes,58,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.0,1053.29,No
4856-MHT,Female,1,Yes,No,22,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.41,2008.3,Yes
7038-AJU,Male,0,Yes,Yes,44,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.82,3236.3,No
5457-CJJ,Male,0,No,No,2,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),57.47,162.6,No
3443-GZT,Male,1,No,Yes,25,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,107.17,2663.43,No
1085-WIG,Female,0,Yes,No,31,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),30.79,969.52,No
6984-YMY,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,63.96,4520.29,No
5466-NPY,Female,0,No,No,15,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,31.36,503.54,No
7860-RCF,Female,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,83.58,1668.11,Yes
1541-KIA,Female,0,Yes,Yes,29,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),82.39,2461.64,Yes
5112-FVL,Male,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,87.28,6279.73,No
1106-SQT,Female,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.73,2124.07,No
4025-YLP,Male,0,Yes,No,2,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),85.35,148.63,Yes
6116-OFM,Male,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,64.26,1081.67,Yes
2852-GUU,Female,0,Yes,Yes,59,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),67.56,3984.57,Yes
8487-PGC,Female,1,No,Yes,4,No,No,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),64.69,271.06,No
6664-WNH,Male,0,Yes,No,62,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.63,3422.93,No
6363-EWK,Male,0,No,Yes,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,66.86,1317.22,No
6380-RWI,Male,0,No,Yes,66,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,71.85,4745.22,No
5249-JBI,Female,0,No,No,21,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),52.3,1112.25,No
2431-TQC,Female,1,No,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),68.4,2119.13,Yes
4412-AMG,Male,0,No,Yes,48,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),73.5,3521.72,Yes
7680-YQD,Female,0,Yes,No,9,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,53.15,431.89,Yes
7605-NAC,Male,0,No,Yes,40,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,46.36,1871.91,No
9364-TJA,Female,0,No,No,36,No,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),44.78,1641.58,No
7397-LKA,Female,0,Yes,Yes,57,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),51.21,2952.61,No
2889-GOQ,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.81,1575.57,No
1778-YBR,Female,0,Yes,No,48,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,66.64,3177.6,Yes
3505-ZLP,Female,1,No,No,29,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,65.36,1884.18,No
3209-IZV,Male,0,No,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,78.3,2276.1,Yes
1253-RWQ,Female,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.82,1433.94,No
4812-KTX,Male,0,No,No,59,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),63.42,3712.2,No
9180-OPS,Female,0,Yes,No,23,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,71.59,1587.69,No
5484-BQU,Male,0,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,111.15,1314.35,Yes
9756-HCP,Female,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,51.01,1214.55,No
6091-SMR,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,37.92,48.74,Yes
8373-FCU,Female,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.39,618.39,Yes
