customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_probability,risk_level,main_risk_factors,recommended_action
5868-NLB,Female,0,Yes,Yes,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.94,513.69,1,0.9202900938383296,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
4336-DCM,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,111.93,438.68,1,0.918740255176405,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
4373-BLX,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,77.83,227.7,1,0.918625178885351,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
4682-ZXL,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.62,671.22,1,0.9179628255635174,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
9490-GJX,Female,0,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),95.86,489.43,1,0.9179532815664682,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
3671-ZNS,Male,1,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.0,164.35,1,0.9178716286036924,High,月額契約で解約しやすい / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用 / Fiber optic利用で料金・品質不満の可能性,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / セキュリティ提案: OnlineSecurityの価値を説明し利用を促す
5443-ZIW,Male,0,No,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,72.18,489.04,0,0.9175873056271715,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
3439-RXS,Male,1,No,No,15,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,88.56,1335.7,1,0.9173973845603803,High,月額契約で解約しやすい / 月額料金が高い / TechSupport未加入 / OnlineSecurity未加入 / Fiber optic利用で料金・品質不満の可能性,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / サポート加入キャンペーン: 初月無料のTechSupportを提案する
2119-BMK,Female,0,No,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,66.47,376.6,1,0.9171463305924846,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
6595-HWK,Male,0,No,No,4,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,101.32,480.62,1,0.9168801415665462,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
7759-SCG,Female,1,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,69.81,136.87,1,0.9167787017737874,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
6881-YQV,Male,1,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.05,725.51,1,0.9167062079385112,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
3051-OHD,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,86.5,104.98,1,0.9157275960069491,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
4187-NEK,Male,0,No,No,5,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.28,511.06,1,0.9151662275114726,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Fiber optic利用で料金・品質不満の可能性,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
9887-PCC,Female,0,No,No,2,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,81.5,140.55,1,0.9144384673161866,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
2240-BXT,Male,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.57,0.0,1,0.9144239241383407,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
8553-CXI,Female,0,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,81.74,369.49,1,0.9138174844282327,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
9966-QBK,Female,0,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.93,0.0,1,0.9137963331057757,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
9716-ZFH,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.34,124.04,1,0.9136418302619612,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
9262-ZBW,Female,0,No,No,17,No,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.63,1703.76,1,0.9130169000064409,High,月額契約で解約しやすい / 月額料金が高い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / サポート加入キャンペーン: 初月無料のTechSupportを提案する
3988-DZY,Male,1,Yes,No,19,Yes,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,99.24,1880.93,1,0.9128497892256572,High,月額契約で解約しやすい / 月額料金が高い / OnlineSecurity未加入 / Electronic check利用 / Fiber optic利用で料金・品質不満の可能性,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / セキュリティ提案: OnlineSecurityの価値を説明し利用を促す
6381-LSQ,Male,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,83.24,542.36,1,0.9127685976286327,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
8016-UCI,Female,0,Yes,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.43,0.0,1,0.9123748504498541,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
3982-IPT,Male,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.49,1584.93,1,0.9122354985357961,High,月額契約で解約しやすい / 月額料金が高い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / サポート加入キャンペーン: 初月無料のTechSupportを提案する
4437-YHO,Female,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,76.12,0.0,1,0.9121050057317418,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
5534-AJZ,Male,1,Yes,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.39,536.49,1,0.9115735967256522,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
1915-RGB,Male,1,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,88.11,96.11,0,0.9106705027637783,High,月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
9233-GLI,Female,1,Yes,No,4,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,66.91,302.04,1,0.9105091699669399,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
7736-SSU,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,87.44,262.22,1,0.9101962063551003,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / OnlineSecurity未加入 / Electronic check利用,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
7977-IBW,Female,1,Yes,No,0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),68.16,0.0,1,0.9097161273695642,High,月額契約で解約しやすい / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入 / Fiber optic利用で料金・品質不満の可能性,長期契約特典: 1年契約への移行割引やポイント付与を提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る / サポート加入キャンペーン: 初月無料のTechSupportを提案する
5270-QQS,Female,1,Yes,No,6,No,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,83.64,524.5,1,0.9096747519914474,High,月額契約で解約しやすい / 月額料金が高い / 利用期間が短い / TechSupport未加入 / OnlineSecurity未加入,長期契約特典: 1年契約への移行割引やポイント付与を提案する / 料金プラン見直し: 利用状況に合う低負担プランを提案する / オンボーディング強化: 初期活用サポートや利用定着メールを送る
